UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1758377419;0;391.997;1;7.2050166;4.3253565;2.8796601;0.99877375;0.81945515;300;Tartu;29.88;28.77;0.0;2.8441;0.5379
1758381020;0;391.998;1;6.6605864;4.3253565;2.3352299;0.9981848;0.8203516;300;Tartu;29.44;29.1;0.0;2.8387;0.5407
1758384618;0;394.0;1;6.5943637;4.3253565;2.2690072;0.9983623;0.82098883;300;Tartu;29.13;29.29;0.0;2.8465;0.54
1758388219;0;391.995;1;6.489035;4.3253565;2.1636786;0.99911886;0.8207669;300;Tartu;31.88;29.45;0.0;2.8371;0.5409
1758391819;0;391.99402;1;6.5868897;4.3253565;2.2615333;0.9992523;0.8203787;300;Tartu;33.75;28.33;0.0;2.8366;0.5388
1758395418;0;391.982;1;6.6831303;4.3253565;2.3577738;0.99962944;0.8198206;300;Tartu;34.75;27.28;0.0;2.8375;0.5376
1758399019;0;392.034;1;6.6859593;4.3253565;2.3606029;0.9997465;0.8205408;300;Tartu;35.63;26.79;0.0;2.8418999;0.53735
1758402622;0;391.96094;1;6.813137;4.3253565;2.4877806;0.99964947;0.82083905;300;Tartu;36.38;26.44;0.0;2.8376;0.5366
1758406218;0;392.00604;1;6.9884624;4.3253565;2.663106;0.99951684;0.82110023;300;Tartu;36.88;25.75;0.0;2.8381;0.5351
1758409819;0;391.99896;1;7.2326584;4.3253565;2.907302;0.99981403;0.82055795;300;Tartu;37.31;25.03;0.0;2.8387;0.5351
1758413420;0;392.00098;1;7.3026743;4.3253565;2.9773178;0.999766;0.82208323;300;Tartu;37.63;24.7;0.0;2.8416;0.5363
1758417020;0;392.00208;1;7.386597;4.3253565;3.0612407;0.9997466;0.82212865;300;Tartu;37.88;24.62;0.0;2.8446;0.53540003
1758420619;0;391.99707;1;7.298243;4.3253565;2.9728866;0.9995448;0.8217778;300;Tartu;38.13;24.32;0.0;2.8433;0.5349
1758424221;0;391.99896;1;8.34716;4.3253565;4.021804;0.9997178;0.82087815;300;Tartu;38.25;24.0;0.0;2.8456;0.5356
1758427820;0;392.00098;1;8.050459;4.3253565;3.7251024;0.9998453;0.8216931;300;Tartu;38.44;23.89;0.0;2.8472;0.5369
1758431420;0;391.99994;1;8.784186;4.3253565;4.45883;0.9998304;0.8218695;300;Tartu;38.38;23.92;0.0;2.8513;0.5358
1758435021;0;391.99805;1;8.472699;4.3253565;4.1473427;0.99983495;0.8214427;300;Tartu;38.81;23.82;0.0;2.8589;0.5336
1758438620;0;392.00403;1;8.899021;4.3253565;4.5736647;0.9998805;0.8222114;300;Tartu;39.38;23.44;0.0;2.8446;0.5345
1758442220;0;392.026;1;11.383925;4.3253565;7.058569;0.99989974;0.8219587;300;Tartu;39.94;23.1;0.0;2.8509;0.5342
1758445820;0;391.97998;1;10.9247675;4.3253565;6.599411;0.9999069;0.82264936;300;Tartu;40.69;22.87;0.0;2.8482;0.5321
1758449419;0;392.00806;1;9.078676;4.3253565;4.7533197;0.99976695;0.82332253;300;Tartu;41.56;22.27;0.0;2.8541;0.5304
1758453020;0;392.01007;1;8.722726;4.3253565;4.3973694;0.99952;0.825739;300;Tartu;42.63;21.13;0.0;2.87675;0.529
1758454602;0;391.992;0;3.4438472;0.0;3.4438472;0.9990707;0.9720642;300;;42.94;20.74;0.0;0.0;0.0
1758456618;0;392.00104;1;8.517411;3.4438472;5.073564;0.99947554;0.82531434;300;Tartu;43.19;20.4;0.0;2.8658;0.52540004
1758460220;0;392.003;1;7.901136;3.4438472;4.4572887;0.9993353;0.8259;300;Tartu;43.06;20.34;0.0;2.8553;0.5219
1758463819;0;391.99896;1;7.7074094;3.4438472;4.263562;0.9993264;0.8256438;300;Tartu;43.25;20.38;0.0;2.8664;0.5204
1758467420;0;392.00104;1;7.4992166;3.4438472;4.0553694;0.99956405;0.8250994;300;Tartu;43.31;20.31;0.0;2.8596;0.5189
1758471019;0;391.99902;1;7.6211467;3.4438472;4.1772995;0.9992734;0.8243422;300;Tartu;43.19;20.05;0.0;2.8666;0.5196
1758474620;0;392.00604;1;7.3930187;3.4438472;3.9491715;0.99946827;0.82438797;300;Tartu;42.75;20.04;0.0;2.8577;0.5214
1758478223;0;392.01697;1;7.4178376;3.4438472;3.9739904;0.9994637;0.82422686;300;Tartu;42.44;20.3;0.0;2.8566;0.5211
1758481820;0;391.97595;1;7.3564;3.4438472;3.9125528;0.9993885;0.8259279;300;Tartu;42.25;20.58;0.0;2.8641;0.5233
1758485421;0;392.03998;1;7.304991;3.4438472;3.8611436;0.99967307;0.82641983;300;Tartu;42.06;20.83;0.0;2.8655;0.52175
1758489020;0;391.97797;1;7.3230886;3.4438472;3.8792415;0.9992164;0.82698715;300;Tartu;42.19;20.65;0.0;2.8681;0.5194
1758492621;0;391.98206;1;7.4842935;3.4438472;4.0404463;0.9996493;0.82676876;300;Tartu;42.19;20.57;0.0;2.8612;0.5212
1758496220;0;392.028;1;7.2763467;3.4438472;3.8324995;0.9995265;0.82690513;300;Tartu;42.25;20.58;0.0;2.8606;0.5204
1758499821;0;392.028;1;7.58314;3.4438472;4.1392927;0.9995428;0.8263831;300;Tartu;42.25;20.71;0.0;2.8606;0.5199
1758503420;0;391.98004;1;9.517383;3.4438472;6.0735354;0.99966735;0.82559395;300;Tartu;42.06;20.81;0.0;2.8657;0.5238
1758507021;0;392.03595;1;8.938857;3.4438472;5.49501;0.9996167;0.8263546;300;Tartu;41.88;20.67;0.0;2.8559;0.5234
1758510620;0;392.00604;1;8.987801;3.4438472;5.5439534;0.99978995;0.8265636;300;Tartu;41.56;20.77;0.0;2.8611002;0.52330005
1758514221;0;392.015;1;10.028039;3.4438472;6.584192;0.9998134;0.8259598;300;Tartu;41.25;20.96;0.0;2.8548;0.5244
1758517819;0;391.97595;1;10.081144;3.4438472;6.637297;0.9998014;0.8264322;300;Tartu;40.94;21.32;0.0;2.8536;0.5259
1758521420;0;391.97296;1;10.442957;3.4438472;6.9991097;0.9999118;0.82700855;300;Tartu;40.63;21.44;0.0;2.8583;0.5258
1758525021;0;391.97296;1;10.030475;3.4438472;6.5866275;0.99986655;0.8271541;300;Tartu;40.19;21.41;0.0;2.8597999;0.52575004
1758528620;0;392.01898;1;10.255874;3.4438472;6.8120265;0.99991053;0.8274562;300;Tartu;39.81;21.66;0.0;2.8569;0.5286
1758532221;0;392.02295;1;10.580993;3.4438472;7.1371455;0.99992347;0.8269833;300;Tartu;39.63;21.99;0.0;2.8599;0.5283
1758535820;0;392.02405;1;10.7654505;3.4438472;7.3216033;0.99990463;0.8268329;300;Tartu;39.56;22.24;0.0;2.8539;0.5281
1758539420;0;391.96796;1;9.1041765;3.4438472;5.6603293;0.99981797;0.8260243;300;Tartu;40.13;21.77;0.0;2.8572;0.5307
1758541005;0;391.971;0;3.411693;0.0;3.411693;0.99854314;0.97344327;300;;40.25;21.58;0.0;0.0;0.0
1758543019;0;392.021;1;8.185449;3.411693;4.7737556;0.99985254;0.82611346;300;Tartu;40.38;21.44;0.0;2.8659;0.5318
1758546620;0;391.97302;1;7.591804;3.411693;4.180111;0.99984723;0.82622623;300;Tartu;39.94;21.7;0.0;2.8555;0.5308
